"id","Asset","realizedPL","date_closed","date_open","initialUnits","financing","dividendAdjustment","account_var","already_in_db","trade_col","Net_Profit"
"38639","USD_CAD",-0.1028,2025-11-24 15:45:31,2025-11-21 22:40:31,621,0.0197,0,1,NA,"Long",-0.0831
"38643","USD_CAD",-0.1234,2025-11-24 15:45:31,2025-11-21 22:40:33,621,0.0197,0,1,NA,"Long",-0.1037
"38647","USD_CAD",-0.1302,2025-11-24 15:45:31,2025-11-21 22:40:34,621,0.0197,0,1,NA,"Long",-0.1105
"38703","EUR_AUD",-3.003,2025-11-22 04:26:12,2025-11-21 23:41:22,429,0,0,1,NA,"Long",-3.003
"38792","EUR_AUD",-1.6302,2025-11-24 15:45:24,2025-11-22 00:40:47,429,-0.0558,0,1,NA,"Long",-1.686
"38796","EUR_AUD",-1.6302,2025-11-24 15:45:24,2025-11-22 00:40:49,429,-0.0558,0,1,NA,"Long",-1.686
"38800","EUR_AUD",-1.6345,2025-11-24 15:45:24,2025-11-22 00:40:50,429,-0.0558,0,1,NA,"Long",-1.6903
"38804","USD_CAD",0.5022,2025-11-24 15:45:31,2025-11-22 00:40:54,621,0.0197,0,1,NA,"Long",0.5219
"38808","USD_CAD",0.5022,2025-11-24 15:45:31,2025-11-22 00:40:56,621,0.0197,0,1,NA,"Long",0.5219
"38812","USD_CAD",2.3902,2025-11-22 02:36:51,2025-11-22 00:40:57,621,0,0,1,NA,"Long",2.3902
"38816","XAG_USD",4.2051,2025-11-22 03:50:56,2025-11-22 00:41:01,5,0,0,1,NA,"Long",4.2051
"38820","XAG_USD",2.3655,2025-11-22 03:34:42,2025-11-22 00:41:03,5,0,0,1,NA,"Long",2.3655
"38824","XAG_USD",1.7273,2025-11-22 01:00:27,2025-11-22 00:41:05,5,0,0,1,NA,"Long",1.7273
"38914","EUR_AUD",-3.0159,2025-11-22 03:57:08,2025-11-22 01:40:30,429,0,0,1,NA,"Long",-3.0159
"38918","EUR_AUD",-3.0073,2025-11-22 03:57:00,2025-11-22 01:40:32,429,0,0,1,NA,"Long",-3.0073
"38922","EUR_AUD",-3.003,2025-11-22 03:57:07,2025-11-22 01:40:35,429,0,0,1,NA,"Long",-3.003
"38926","USD_CAD",-0.7334,2025-11-24 15:45:31,2025-11-22 01:40:39,621,0.0197,0,1,NA,"Long",-0.7137
"38930","USD_CAD",-0.6923,2025-11-24 15:45:31,2025-11-22 01:40:40,621,0.0197,0,1,NA,"Long",-0.6726
"38934","USD_CAD",-0.6718,2025-11-24 15:45:31,2025-11-22 01:40:42,621,0.0197,0,1,NA,"Long",-0.6521
"38938","XAG_USD",4.1799,2025-11-22 03:49:00,2025-11-22 01:40:46,5,0,0,1,NA,"Long",4.1799
"38942","XAG_USD",2.3436,2025-11-22 02:25:09,2025-11-22 01:40:48,5,0,0,1,NA,"Long",2.3436
"38946","XAG_USD",1.7381,2025-11-22 02:12:55,2025-11-22 01:40:49,5,0,0,1,NA,"Long",1.7381
"39110","EUR_AUD",-3.0287,2025-11-22 03:38:19,2025-11-22 02:40:36,429,0,0,1,NA,"Long",-3.0287
"39114","EUR_AUD",-3.0116,2025-11-22 03:30:25,2025-11-22 02:40:37,429,0,0,1,NA,"Long",-3.0116
"39118","EUR_AUD",-3.0244,2025-11-22 03:30:25,2025-11-22 02:40:39,429,0,0,1,NA,"Long",-3.0244
